Comment,Source
Who is Mark Carney? Here’s some background on Canada’s next prime minister  CityNews Toronto,Google News
Mark Carney will become Canada's 24th prime minister on Friday  Canada's National Observer,Google News
The question that Mark Carney must answer in an election  The Globe and Mail,Google News
Mark Carney is the new Liberal leader. Read his full acceptance speech here  Global News Kingston,Google News
Mark Carney has been voted as the new Liberal leader. Now what happens?  CTV News,Google News
No Alberta representation in Prime Minister Mark Carney’s new cabinet  Global News Kingston,Google News
Mark Carney to be next Canada PM after winning Liberal leadership race  The Guardian,Google News
Can Mark Carney win an election in Canada and a trade war with the US?  Financial Times,Google News
Insiders say Mark Carney has a new chief of staff and told Liberal MPs to be ready  Toronto Star,Google News
"Mark Carney chosen as new Liberal leader, replacing Trudeau  CBC.ca",Google News
Prime Minister-designate Mark Carney says Liberals will kill their own capital gains tax changes  BetaKit - Canadian Startup News,Google News
"Mark Carney, the Liberal who may lead Canada  The Economist",Google News
Poll: Mark Carney seen as the best person for the job by most Quebecers  CityNews Montreal,Google News
"Opinion: The office, an election and the world are rushing at Mark Carney like no rookie PM before  The Globe and Mail",Google News
Mark Carney to name a cabinet within days. Here’s what he’ll need to consider  Toronto Star,Google News
David Staples: Mark Carney's new economic promises go against everything he values  Edmonton Journal,Google News
"Mark Carney, the ‘boring guy’ whose economic acumen could help Canada tackle Trump  The Guardian",Google News
"Mark Carney Wins Canada Liberal Contest, Will Succeed Trudeau in Days  Yahoo Finance",Google News
"Freeland's in, Gould is out: Here's the complete list of PM Mark Carney's first cabinet  National Post",Google News
